im	im	5
min	min	4
id	id	2
im	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	1
1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	km	1
km	im	1
im	id	1
id	thid	1
thid	newd	1
newd	fuckin'	1
fuckin'	mt	1
mt	snd	1
snd	i	1
i	tjsg	1
tjsg	christmas	1
christmas	miscommunication	1
miscommunication	at	1
at	but	1
but	eere	1
eere	were	1
were	excited	1
excited	you	1
you	boitd	1
boitd	hed	1
hed	witj	1
witj	h	1
h	snf	1
snf	ji	1
ji	dover	1
dover	dober	1
dober	you	1
you	tou	1
tou	t	1
t	gor	1
gor	cr	1
cr	didn't	1
didn't	st	1
st	im	1
im	shod	1
shod	them	1
them	vehie	1
vehie	vehicle	1
vehicle	spae	1
spae	plug	1
plug	woulf	1
woulf	understand	1
understand	tling	1
tling	payment	1
payment	bug	1
bug	hsefly	1
hsefly	drove	1
drove	min	1
min	snx	1
snx	almodg	1
almodg	understand	1
understand	s	1
s	k	1
k	order	1
order	orde	1
orde	also	1
also	dhe	1
dhe	snf	1
snf	pretty	1
pretty	prett	1
prett	within	1
within	min	1
min	picking	1
picking	ir	1
ir	amf	1
amf	minutes	1
minutes	picking	1
picking	think	1
think	tjonk	1
tjonk	thabk	1
thabk	s	1
s	ghagd	1
ghagd	that's	1
that's	awesome	1
awesome	works	1
works	hey	1
hey	i	1
i	i	1
i	go	1
go	no	1
no	horus	1
horus	gdynia	1
gdynia	rank	1
rank	gpus	1
gpus	is	1
is	dad	1
dad	what	1
what	know	1
know	ks	1
ks	today	1
today	visiting	1
visiting	hows	1
hows	claira	1
claira	christmas	1
christmas	that's	1
that's	choice	1
choice	school	1
school	days	1
days	still	1
still	imagining	1
imagining	know	1
know	unreliable	1
unreliable	something	1
something	congrats	1
congrats	congrats	1
congrats	howsbit	1
howsbit	hows	1
hows	hows	1
hows	kn	1
kn	babe	1
babe	id	1
id	ibgot	1
ibgot	gor	1
gor	domething	1
domething	something	1
something	whsts	1
whsts	youe	1
youe	ti	1
ti	pretrip	1
pretrip	ice	1
ice	skills	1
skills	best	1
best	mouthfeel	1
mouthfeel	professional	1
professional	vapes	1
vapes	ci	1
ci	percent	1
percent	percejt	1
percejt	recipes	1
recipes	coold	1
coold	coolada	1
coolada	bought	1
bought	bougjt	1
bougjt	bought	1
bought	ws	1
ws	ise	1
ise	still	1
still	up	1
up	versus	1
versus	nana	1
nana	back	1
back	ony	1
ony	injector	1
injector	contribute	1
contribute	dsmd	1
dsmd	sams	1
sams	sams	1
sams	christmas	1
christmas	first	1
first	s	1
s	couoe	1
couoe	could	1
could	hurray	1
hurray	do	1
do	rwxr	1
rwxr	hungry	1
hungry	wst	1
wst	myunch	1
myunch	lunch	1
lunch	ppl	1
ppl	were	1
were	resd	1
resd	read	1
read	phone	1
phone	starbucks	1
starbucks	uhuru	1
uhuru	uh	1
uh	uh	1
uh	wd	1
wd	bc	1
bc	hided	1
hided	we'd	1
we'd	such	1
such	gas	1
gas	gases	1
gases	gas	1
gas	gassy	1
gassy	ok	1
ok	oof	1
oof	toj	1
toj	anywsyd	1
anywsyd	anyways	1
anyways	thi	1
thi	dad	1
dad	het	1
het	ir	1
ir	bc	1
bc	bc	1
bc	pls	1
pls	id	1
id	react	1
react	gor	1
gor	7o	1
7o	environment	1
environment	hes	1
hes	he's	1
he's	whar	1
whar	foe	1
foe	hacenr	1
hacenr	haven't	1
haven't	rexted	1
rexted	texted	1
texted	s	1
s	fuckin'	1
fuckin'	presents	1
presents	exchange	1
exchange	tear	1
tear	case	1
case	pxb	1
pxb	pcb	1
pcb	pcb	1
pcb	futuristic	1
futuristic	watch	1
watch	wat	1
wat	watch	1
